,date,new_results_reported
7,2022-06-18,613734.7142857143
8,2022-06-19,607139.1428571428
9,2022-06-20,581183.1428571428
10,2022-06-21,545726.5714285715
11,2022-06-22,539045.0
12,2022-06-23,551343.1428571428
13,2022-06-24,560007.1428571428
14,2022-06-25,563385.2857142857
15,2022-06-26,567331.5714285715
16,2022-06-27,575233.7142857143
17,2022-06-28,571653.8571428572
18,2022-06-29,551016.7142857143
19,2022-06-30,534176.7142857143
20,2022-07-01,526861.1428571428
21,2022-07-02,525238.2857142857
22,2022-07-03,521860.85714285716
23,2022-07-04,491303.14285714284
24,2022-07-05,495630.4285714286
25,2022-07-06,521767.14285714284
26,2022-07-07,520897.4285714286
27,2022-07-08,512014.28571428574
28,2022-07-09,504905.0
29,2022-07-10,499816.14285714284
30,2022-07-11,519755.5714285714
31,2022-07-12,505690.5714285714
32,2022-07-13,454149.71428571426
33,2022-07-14,388781.71428571426
